	dimension 1	dimension 2
1001700603_E9	-28.514439	-35.726364
1001700603_E11	-29.840332	-3.2458642
1001700603_E15	-38.156906	-26.718174
1001700603_E16	-33.744003	-21.12605
1001700603_E18	-8.713547	-8.828133
1001700603_E20	-4.6006866	0.93833375
1001700603_E22	-1.240186	13.349311
1001700603_F2	6.269272	-22.778831
1001700603_F3	2.9497778	18.59546
1001700603_F5	-22.041683	14.557919
1001700603_F7	-17.049988	11.89365
1001700603_F9	-36.122807	-8.429781
1001700603_F10	3.3209567	-5.208213
1001700603_F12	-22.388592	-11.813416
1001700603_F15	-5.971953	-32.188885
1001700603_F17	-20.292263	-16.3516
1001700603_F18	3.4515927	-5.6285396
1001700603_F21	-33.2302	-4.8959813
1001700603_G1	-2.556741	-13.401772
1001700603_G2	-17.403522	-11.983544
1001700603_G3	-6.858038	-14.237242
1001700603_G4	8.621306	12.547543
1001700603_G6	-27.991457	6.8495545
1001700603_G8	-1.8613411	7.143349
1001700603_G10	-16.05238	11.882689
1001700603_G12	-2.107005	3.2204115
1001700603_H1	1.2961355	15.874526
1001700603_H3	-21.492456	-29.551172
1001700603_H5	3.5549984	-24.23303
1001700603_H7	-4.569427	-7.465361
1001700603_H9	6.5741115	-19.549072
1001700603_H11	-8.842048	1.5503141
1001700603_I2	-25.691011	-11.43977
1001700603_I4	-35.734592	-13.171257
1001700603_I6	-31.244844	-25.353844
1001700603_I8	-9.502694	-2.3641596
1001700603_I10	-1.2701967	-33.499023
1001700603_J1	-3.1305704	10.151968
1001700603_J3	3.0111732	-13.473884
1001700603_J5	-13.671019	-12.694879
1001700603_J7	-20.883947	-24.588839
1001700603_J8	-5.0136275	5.7645555
1001700603_J9	2.9686124	-12.281214
1001700603_J11	-14.47429	-16.948078
1001700603_J12	8.424271	-29.60823
1001700603_K2	2.8662577	-9.418619
1001700603_K4	-27.807215	5.6555643
1001700603_K6	2.2714584	-8.826037
1001700603_K8	-7.2146344	-29.221369
1001700603_K10	-11.798861	-26.130068
1001700603_K13	7.9218225	10.055689
1001700603_L5	0.6791515	-3.7967415
1001700603_L7	-8.881345	-4.1324973
1001700603_L10	-22.194344	-43.107475
1001700603_L12	-16.571672	21.348375
1001700603_L16	-41.586357	-35.671093
1001700603_L18	-12.755409	-29.496935
1001700603_M1	-21.412563	-15.350678
1001700603_M4	-22.012836	-25.626837
1001700603_M5	-22.077656	-16.171623
1001700603_M7	-19.031921	-38.91911
1001700603_M10	-18.970802	-40.08676
1001700603_M13	1.0320032	17.01879
1001700603_M16	-23.747816	-4.647586
1001700603_M17	-32.72815	-1.1950585
1001700603_M19	-15.906732	-42.57374
1001700603_M20	-3.010665	-37.310795
1001700603_M22	-11.523113	15.135486
1001700603_N1	-44.495464	-25.062191
1001700603_N3	-9.739707	-26.17761
1001700603_N6	-39.549095	-17.91865
1001700603_N10	-2.6744041	-36.179665
1001700603_N12	-23.0543	-42.25189
1001700603_N16	22.875029	30.884604
1001700603_N17	-11.063113	-35.9332
1001700603_N19	-39.921753	-6.33255
1001700603_O1	-25.183266	-1.2629435
1001700603_O2	-20.789751	-0.36353287
1001700603_O4	-13.698686	-3.1723118
1001700603_O5	-40.943516	-6.6815834
1001700603_O10	-14.937065	-1.1444656
1001700603_O17	-21.102427	-44.142887
1001700603_O22	-39.870804	-5.46351
1001700603_P6	42.39279	20.714878
1001700603_P13	-36.78474	-19.422222
1001700603_P17	9.272369	-30.593607
1001700603_P21	-32.55685	14.248436
1001700605_A1	-33.55465	19.673885
1001700605_A6	-29.581165	-4.432744
1001700605_A8	-34.494766	14.155301
1001700605_A11	3.32051	-35.15019
1001700605_A14	21.476803	-17.570604
1001700605_A16	-35.287434	-24.765324
1001700605_A18	-37.460682	8.271398
1001700605_A20	-30.530476	12.325504
1001700605_A21	-42.48159	-30.285305
1001700605_A22	-31.2553	12.077691
1001700605_B1	-35.821835	17.598785
1001700605_B4	-43.11781	-15.944397
1001700605_B8	-23.40888	-21.775774
1001700605_B11	-13.137818	4.5333824
1001700605_B13	-36.114613	-13.7385235
1001700605_B14	-10.594144	-10.706564
1001700605_B15	-26.347122	5.542697
1001700605_B18	23.590017	-17.746252
1001700605_C3	-14.817124	8.687086
1001700605_C4	-28.232529	-20.38824
1001700605_C7	-22.008495	-24.083904
1001700605_C9	-13.967832	0.36059028
