	dimension 1	dimension 2
1001700602_M17	31.25186	-8.490328
1001700602_M19	-0.04547671	20.487133
1001700602_M21	-2.292697	29.618082
1001700602_N4	9.25279	-16.128996
1001700602_N6	25.58637	-43.272667
1001700602_N8	-9.197172	-15.325494
1001700602_N9	18.176113	1.4093969
1001700602_N11	37.047997	-14.639561
1001700602_N13	8.090388	42.701637
1001700602_N14	12.021241	-8.058992
1001700602_N15	14.5972595	8.470684
1001700602_N16	54.22492	-18.76302
1001700602_N18	16.692837	-33.223793
1001700602_N21	51.935295	16.323654
1001700602_N22	-1.4349465	29.341574
1001700602_O3	43.43729	21.812405
1001700602_O4	-5.1842422	-9.389757
1001700602_O6	9.830745	-11.464768
1001700602_O8	-9.311143	-11.796308
1001700602_O10	17.268269	19.23795
1001700602_O12	42.609875	7.6280546
1001700602_O13	0.0018523806	-31.160572
1001700602_O14	-46.131866	-5.9470935
1001700602_O16	-6.568978	31.838205
1001700602_O17	7.4714622	-6.463716
1001700602_O18	39.791092	-2.7831705
1001700602_P8	29.142355	-12.114861
1001700602_P14	9.209686	-7.049133
1001700602_P16	30.092892	-9.955911
1001700602_P17	12.664589	-25.416748
1001700602_P18	-8.033845	36.936226
1001700602_P19	45.94909	5.0104523
1001700603_A1	-32.34961	-40.448357
1001700603_A2	2.1772797	25.10407
1001700603_A4	47.870266	5.1618953
1001700603_A6	1.516605	-11.506476
1001700603_A7	46.782814	12.850946
1001700603_A9	49.095016	-4.739996
1001700603_A11	1.4884231	12.703345
1001700603_A16	-4.06018	-17.376755
1001700603_A17	-7.351459	27.707691
1001700603_A19	15.546331	-12.499576
1001700603_A22	19.941605	-20.484406
1001700603_B1	43.55744	3.8415668
1001700603_B4	27.093504	-24.516788
1001700603_B6	25.166498	15.022326
1001700603_B8	-1.265407	-9.198634
1001700603_B10	-2.2632542	19.372194
1001700603_B12	35.224216	-36.152893
1001700603_B20	-4.7540956	22.736242
1001700603_B21	24.101128	-14.146989
1001700603_C3	7.709365	-0.19216692
1001700603_C5	3.7234864	-0.10576682
1001700603_C7	-13.379722	-5.337942
1001700603_C9	-21.107996	-13.164565
1001700603_C11	-10.277085	19.965866
1001700603_C13	40.02055	-33.65836
1001700603_D2	25.36705	14.304942
1001700603_D3	1.9337252	-20.290457
1001700603_D4	-4.8439646	24.567272
1001700603_D6	7.5180902	42.855904
1001700603_D8	7.4057164	-17.893745
1001700603_D10	-5.2045627	-27.788128
1001700603_D11	16.173466	-16.829
1001700603_D12	7.0875483	-12.211067
1001700603_D17	-15.360079	25.464483
1001700603_D20	-12.152393	25.248316
1001700603_D21	12.1284895	-29.692062
1001700603_E1	37.961517	5.1498013
1001700603_E3	6.295102	-22.032278
1001700603_E5	-2.4896586	24.304682
1001700603_E7	37.529934	2.5500169
1001700603_E9	29.533758	-7.0065756
1001700603_E11	11.454052	5.5710416
1001700603_E15	44.651714	4.874733
1001700603_E16	40.532345	-13.238941
1001700603_E18	2.7963715	-25.532946
1001700603_E20	9.641999	13.471079
1001700603_E22	-1.4353311	19.117292
1001700603_F2	-6.2138243	-8.679482
1001700603_F3	-19.296024	24.416868
1001700603_F5	13.579023	36.58552
1001700603_F7	0.59322196	29.833786
1001700603_F9	7.509416	-34.037285
1001700603_F10	22.41296	3.948407
1001700603_F12	21.410288	-20.931784
1001700603_F15	15.776638	-22.573593
1001700603_F17	21.656004	-1.0855482
1001700603_F18	22.58627	3.341457
1001700603_F21	56.51919	-9.902715
1001700603_G1	0.3099686	-15.290597
1001700603_G2	14.53605	-14.188642
1001700603_G3	27.57521	14.480471
1001700603_G4	-37.101395	-10.046184
1001700603_G6	6.474042	11.088177
1001700603_G8	-9.046759	28.04148
1001700603_G10	-0.17343412	29.597143
1001700603_G12	8.950708	30.244528
1001700603_H1	-16.48996	23.381186
1001700603_H3	34.792526	-1.6554127
1001700603_H5	0.6248904	-18.77778
1001700603_H7	-1.7560582	-31.10133
1001700603_H9	-7.0115795	-5.0759597
1001700603_H11	10.7636175	17.026611
1001700603_I2	20.360182	-2.87101
1001700603_I4	25.570667	-21.225681
1001700603_I6	37.712734	6.1729856
1001700603_I8	12.050339	12.176568
1001700603_I10	11.107694	-23.019022
1001700603_J1	-27.52589	-10.994211
1001700603_J3	14.927735	-18.602608
1001700603_J5	14.717931	-25.36071
1001700603_J7	28.605635	-14.381557
1001700603_J8	1.6972516	13.895625
1001700603_J9	-3.0934992	0.3422671
1001700603_J11	7.2435226	-19.537722
1001700603_J12	-3.2459757	-15.720519
1001700603_K2	-3.7360811	2.3531969
1001700603_K4	7.304991	9.973055
1001700603_K6	-3.7481575	3.1529293
1001700603_K8	-1.7468314	-5.3477826
1001700603_K10	11.891994	-4.0514307
1001700603_K13	-13.414025	21.818493
1001700603_L5	29.322927	-34.21858
1001700603_L7	54.1884	-18.014887
1001700603_L10	52.180935	-14.342187
1001700603_L12	-4.9668603	22.190872
1001700603_L16	37.027157	-15.282479
1001700603_L18	41.138832	11.626412
1001700603_M1	25.84379	-1.6941336
1001700603_M4	27.72912	-16.473633
1001700603_M5	24.461035	-2.1044693
1001700603_M7	9.828942	-39.93587
1001700603_M10	8.866988	-40.097927
1001700603_M13	-16.563576	22.583748
1001700603_M16	13.301079	31.789612
1001700603_M17	24.764368	-37.19852
1001700603_M19	32.710636	-32.16909
1001700603_M20	11.791389	-34.57948
1001700603_M22	-5.4987445	33.984104
1001700603_N1	34.918087	21.445894
1001700603_N3	9.636471	-3.5575254
1001700603_N6	29.636395	9.47369
1001700603_N10	12.494149	-34.295177
1001700603_N12	51.259342	-13.831806
1001700603_N16	-47.13108	-0.686477
1001700603_N17	40.309338	-31.650593
1001700603_N19	15.711552	-4.9246078
1001700603_O1	1.5708284	2.807195
1001700603_O2	7.639902	-0.021140192
1001700603_O4	14.718046	10.363462
1001700603_O5	15.694388	-3.7649693
1001700603_O10	13.891041	6.64895
1001700603_O17	53.4374	-14.10895
1001700603_O22	14.5041685	-4.613353
1001700603_P6	-52.83886	-7.4362574
1001700603_P13	49.320286	19.396603
1001700603_P17	-4.160452	-17.07548
1001700603_P21	-17.238352	-32.904385
1001700604_A13	40.107563	14.201592
1001700604_A16	56.741047	-10.681406
1001700604_A20	35.829037	-29.684078
1001700604_C10	30.56671	-28.325897
1001700604_C21	42.938747	6.3429103
1001700604_D6	-11.125071	-7.0869055
1001700604_D8	23.07563	-26.273155
1001700604_D11	23.378674	0.95194864
1001700604_E3	-63.64561	9.893467
1001700604_E10	33.635765	8.962642
1001700604_E12	2.4527838	24.456205
1001700604_E21	22.775347	-9.865854
1001700604_F2	46.033554	6.1253214
1001700604_F8	26.985188	3.704052
1001700604_F9	63.42383	-2.715388
1001700604_F11	29.125824	-30.859907
1001700604_F20	26.836155	10.357736
1001700604_G3	12.558356	-9.775549
1001700604_G6	29.756134	2.586445
1001700604_G11	-43.00418	-2.4248528
1001700604_G12	9.3351755	25.627089
1001700604_H8	42.357933	-1.8350646
1001700604_H9	18.54117	6.34309
1001700604_H13	8.487352	18.92349
1001700604_H14	28.199884	-8.251318
1001700604_H18	37.963184	12.033658
1001700604_H21	62.46085	-10.286993
1001700604_I4	-12.753769	-18.871714
1001700604_I5	34.07975	2.508534
1001700604_I6	-7.0984626	13.63966
1001700604_I7	1.1661524	10.188287
1001700604_I10	-10.109349	11.212193
1001700604_I15	-3.9727452	-13.912501
1001700604_I20	17.634657	-11.330898
1001700604_I21	1.1314831	22.083458
1001700604_J3	44.07569	-26.609432
1001700604_J9	21.575758	6.5239677
1001700604_J16	24.465712	-5.027329
1001700604_K6	19.772808	-17.55374
1001700604_K8	23.602224	18.030188
1001700604_K14	9.046019	21.227562
1001700604_K15	-5.1131763	32.407425
1001700604_K20	19.291609	3.7071605
1001700604_K21	40.24711	2.631173
1001700604_L2	-1.8969468	8.7908
1001700604_L8	40.96002	-6.066232
1001700604_L12	-8.845353	36.529915
1001700604_L16	34.946037	-35.8814
1001700604_L19	39.15588	-24.511236
1001700604_M3	-7.548327	-28.016674
1001700604_M4	-11.248024	-2.8478541
1001700604_M6	58.283466	5.525337
1001700604_M8	32.97711	0.9404232
1001700604_M10	-9.756543	-23.818357
1001700604_M13	-16.36122	36.70901
1001700604_M18	44.64809	-10.64394
