	dimension 1	dimension 2
1001700603_J9	16.866203	6.5434213
1001700603_J11	27.58415	1.0938346
1001700603_J12	20.502111	3.5041888
1001700603_K2	17.138144	3.7197618
1001700603_K4	34.962303	-8.537318
1001700603_K6	16.533249	2.9648523
1001700603_K8	35.076332	11.544224
1001700603_K10	17.05699	17.74984
1001700603_K13	-2.797426	-24.31233
1001700603_L5	34.952454	4.619197
1001700603_L7	9.274872	16.65523
1001700603_L10	31.079445	32.774216
1001700603_L12	3.4287086	-15.4423485
1001700603_L16	47.915043	32.58767
1001700603_L18	43.53413	17.358932
1001700603_M1	26.236406	23.373034
1001700603_M4	31.795002	20.279846
1001700603_M5	25.42687	22.544611
1001700603_M7	42.20447	32.123123
1001700603_M10	43.15027	33.374866
1001700603_M13	2.6265314	-31.3455
1001700603_M16	7.0647664	3.4929185
1001700603_M17	10.605376	40.044178
1001700603_M19	43.640953	27.919094
1001700603_M20	39.75488	8.126044
1001700603_M22	-1.850823	31.018843
1001700603_N1	49.675716	20.19515
1001700603_N3	19.133472	17.445206
1001700603_N6	19.670403	29.729954
1001700603_N10	38.442497	8.211949
1001700603_N12	30.114946	32.54952
1001700603_N16	-29.69038	-30.45665
1001700603_N17	40.103725	12.422492
1001700603_N19	2.2929733	33.8265
1001700603_O1	20.460588	-3.577321
1001700603_O2	0.024044953	21.429522
1001700603_O4	16.31296	-4.0475726
1001700603_O5	2.5571997	35.0319
1001700603_O10	17.632868	-13.617585
1001700603_O17	32.020077	33.115356
1001700603_O22	1.1576669	33.757004
1001700603_P6	-41.58189	-33.87775
1001700603_P13	50.354904	9.419198
1001700603_P17	21.016598	2.5373342
1001700603_P21	-2.3078048	38.796883
1001700605_A8	35.879936	19.111351
1001700605_A11	38.772255	-0.18445823
1001700605_A14	-3.1940236	-20.783049
1001700605_A16	26.940926	39.038303
1001700605_A18	38.73851	18.195711
1001700605_A20	26.01265	-9.177945
1001700605_A21	31.477386	44.860497
1001700605_B1	-5.3677945	37.785183
1001700605_B8	18.225882	26.668512
1001700605_B11	4.555011	-9.152896
1001700605_B13	14.271584	22.455473
1001700605_B14	5.9252234	21.715136
1001700605_B15	33.926647	-9.765803
1001700605_B18	-0.9815537	-21.152662
1001700605_C7	30.28438	22.100176
1001700605_C9	16.450077	-14.2046385
1001700605_C14	35.04012	34.58535
1001700605_C15	26.740156	15.361982
1001700605_C16	20.991703	-18.613035
1001700605_C17	-1.5677902	13.50946
1001700605_C18	12.201314	9.255194
1001700605_D1	25.776182	19.238482
1001700605_D3	20.67054	14.113111
1001700605_D8	24.239119	37.121235
1001700605_D9	19.037535	22.222202
1001700605_D13	16.592548	10.731397
1001700605_D17	6.196518	19.908463
1001700605_E3	17.992039	5.786463
1001700605_E5	29.93768	27.649324
1001700605_E12	15.465445	6.15312
1001700605_E15	13.528543	-3.1240127
1001700605_E19	31.419987	44.78358
1001700605_E22	2.9747376	-32.61123
1001700605_F8	32.800404	28.670986
1001700605_F11	-6.8000336	-26.171091
1001700605_F18	18.727564	35.079006
1001700605_F21	25.95661	-1.9585688
1001700605_G3	30.253826	-1.1297045
1001700605_G8	42.480354	7.0890036
1001700605_G9	28.883167	12.279434
1001700605_G12	25.205421	7.537841
1001700605_G19	7.3597965	42.07888
1001700605_H2	27.348995	14.948618
1001700605_H9	30.876675	21.641186
1001700605_H12	-0.6335508	-21.037258
1001700605_H15	12.357054	-12.521063
1001700605_I3	-23.135798	3.9127817
1001700605_J2	39.78661	22.541908
1001700605_J7	11.250065	-15.061567
1001700605_J8	19.34996	6.0719204
1001700605_J9	20.096207	-4.9349647
1001700605_J10	24.115463	-5.6343126
1001700605_J12	23.856815	7.7780695
1001700605_J15	6.3366613	15.296127
1001700605_J16	27.260214	27.805832
1001700605_K2	27.147383	7.8273354
1001700605_K9	10.616675	31.320553
1001700605_K21	-0.48521787	-19.231857
1001700605_L8	-14.982995	-23.848942
1001700605_L10	38.707886	13.156387
1001700605_L12	31.703402	10.279139
1001700605_L14	-33.911774	-35.04476
1001700605_L15	36.32039	0.7521037
1001700605_L22	11.094862	37.58908
1001700605_M11	5.9395905	6.881629
1001700605_M15	-7.2613935	3.745122
1001700605_M21	26.16826	3.8418329
1001700605_O2	48.78602	22.206938
1001700605_O3	0.4701785	-27.321901
1001700605_O5	42.172504	26.581253
1001700605_O6	4.042196	-9.955012
1001700605_O8	3.8377934	19.140497
1001700605_O9	21.208021	-2.675077
1001700605_O11	-0.16998906	-22.468378
1001700605_O14	24.015402	19.264519
1001700605_O21	10.215111	-25.057724
1001700605_O22	25.068388	33.08534
1001700605_P20	38.295742	1.2746336
1001700606_A1	1.8655154	27.033401
1001700606_A5	12.939951	-6.395285
1001700606_A8	48.01619	22.219461
1001700606_A11	9.743799	-10.346421
1001700606_A13	-3.8481414	6.020629
1001700606_A21	29.640347	-12.61782
1001700606_B4	9.691028	37.803787
1001700606_B7	35.398525	37.7222
1001700606_B12	42.173946	37.440308
1001700606_B13	32.50507	29.424204
1001700606_B14	33.913017	21.978485
1001700606_B15	-7.932194	12.771195
1001700606_B16	24.18749	13.2871895
1001700606_B19	-7.8556747	11.773881
1001700606_B20	9.252631	41.974712
1001700606_B22	21.87586	28.356783
1001700606_C1	37.48658	37.978355
1001700606_C3	11.606872	27.969929
1001700606_C6	12.61604	-11.6368265
1001700606_C10	31.353447	37.172573
1001700606_C13	7.595975	-16.362997
1001700606_C16	27.341782	40.20586
1001700606_C18	19.871056	8.7165
1001700606_C21	15.592829	-17.348011
1001700606_C22	-4.569808	-33.199806
1001700606_D5	22.768116	30.74666
1001700606_D12	16.22531	-14.950637
1001700606_D14	6.4925923	29.004585
1001700606_D16	7.8408885	-16.734596
1001700606_D17	42.949154	24.572737
1001700606_D20	27.990591	18.873434
1001700606_E2	21.133228	-23.089283
1001700606_E5	8.848645	-5.1895967
1001700606_E6	24.027397	17.965912
1001700606_E10	25.90975	9.829369
1001700606_E12	9.830237	-26.258331
1001700606_E15	-10.392315	-3.8651347
1001700606_E17	34.230526	6.3754253
1001700606_E18	29.173006	42.167847
1001700606_E19	40.995983	5.0578847
1001700606_E22	25.551352	18.030642
1001700606_F1	-1.0697081	-14.7464485
1001700606_F3	23.799042	29.392733
1001700606_F4	34.922665	26.76514
1001700606_F6	24.40576	10.567767
1001700606_F8	4.195187	-26.827255
1001700606_F11	22.841045	45.288383
1001700606_F13	32.870426	-2.2967296
1001700606_F16	13.181558	24.676397
1001700606_F18	-6.944984	6.460235
1001700606_F21	25.886406	41.23907
1001700606_G3	-10.335656	1.5973548
1001700606_G5	26.220156	33.48523
1001700606_G7	29.276133	-6.716539
1001700606_G14	25.735994	-12.191655
1001700606_H1	2.8783672	15.657386
1001700606_H3	4.581828	14.954326
1001700606_H6	0.94533384	-20.658195
1001700606_H11	5.6207	29.967812
1001700606_H15	37.206753	31.056257
1001700606_H17	-2.6263533	12.324055
1001700606_I2	26.353992	-3.4629579
1001700606_I4	43.57411	12.302681
1001700606_I5	37.599964	28.103827
1001700606_I7	8.780255	-26.817358
1001700606_I8	5.114269	10.238934
1001700606_I10	4.96917	-17.479603
1001700606_I12	41.036747	25.994432
1001700606_I14	10.0540495	27.116144
1001700606_I15	37.565357	25.461117
1001700606_I21	41.082287	28.252182
1001700606_I22	13.832938	34.39708
1001700606_J3	6.514085	5.2685122
1001700606_J5	29.168358	17.071846
1001700606_J6	34.933567	7.114596
1001700606_J8	42.813637	18.104618
1001700606_J11	-30.372553	-1.629164
1001700606_J16	24.584545	16.509024
